episode_id,split,role,episode_number,asset,side,entry_timestamp,last_earning_timestamp,exit_timestamp,entry_action,exit_action,left_censored,right_censored,complete,decision_bars,entry_weight,last_executed_weight,peak_abs_weight,average_abs_weight,gross_contribution,entry_cost,holding_cost,exit_cost,total_cost,net_contribution,maximum_favorable_excursion,maximum_adverse_excursion,intent_mismatch_bars,no_trade_bars,risk_override_bars
train:ALPHA:0001,train,training,1,ALPHA,long,2024-02-02,2024-02-08,2024-02-09,open_long,close_long,False,False,True,5,0.28634486931219078,0.17204051257698905,0.28783350708545985,0.24611961996328593,-0.00021182904517748043,0.00028634486931219076,0.00027411233446180398,0.00017055003474667383,0.00073100723852066859,-0.00094283628369814902,0.0039619511561394521,-0.00094283628369814902,0,0,0
train:ALPHA:0002,train,training,2,ALPHA,long,2024-02-13,2024-02-19,2024-02-20,open_long,reverse_long_to_short,False,False,True,5,0.16133952416410524,0.058755593560945459,0.20000000000000001,0.13527853377219054,0.0024670660907667318,0.00016133952416410525,0.0001775935493042521,5.8469479074769986e-05,0.00039740255254312734,0.0020696635382236044,0.003112867873045514,0,0,0,0
train:ALPHA:0003,train,training,3,ALPHA,short,2024-02-20,2024-02-22,2024-02-23,reverse_long_to_short,close_short,False,False,True,3,-0.20000000000000001,-0.20000000000000001,0.20000000000000001,0.20000000000000004,-0.0011165057999911632,0.00020000000000000004,7.2580042861425386e-07,0.00020280181207861246,0.00040352761250722678,-0.0015200334124983901,0.00026936323402346738,-0.0015200334124983901,0,0,0
train:ALPHA:0004,train,training,4,ALPHA,long,2024-02-27,2024-02-27,2024-02-28,open_long,close_long,False,False,True,1,0.21786885570916711,0.21786885570916711,0.21786885570916711,0.21786885570916711,0.00051148368683377201,0.00021786885570916712,0,0.00021840906818494389,0.00043627792389411101,7.5205762939661001e-05,0.00029361483112460489,0,0,0,0
train:ALPHA:0005,train,training,5,ALPHA,long,2024-03-01,2024-03-08,2024-03-11,open_long,close_long,False,False,True,6,0.15958188131807305,0.051499712596000627,0.20000000000000001,0.1604694265205143,-0.0039986443021144263,0.00015958188131807305,0.00019755390549164388,5.0973457450841063e-05,0.00040810924426055799,-0.0044067535463749846,0.0037759831425072856,-0.0044067535463749837,0,0,0
train:ALPHA:0006,train,training,6,ALPHA,short,2024-03-12,2024-04-16,2024-04-17,open_short,close_short,False,False,True,26,-0.29999999999999999,-0.20000000000000001,0.29999999999999999,0.2372795930414682,0.0077491863484573037,0.00029999999999999997,0.00093058365436854407,0.0001955793737453243,0.0014261630281138685,0.0063230233203434355,0.01769119773522608,-0.0072645962639142471,0,0,0
train:ALPHA:0007,train,training,7,ALPHA,long,2024-04-25,2024-04-29,2024-04-30,open_long,close_long,False,False,True,3,0.28401863949431022,0.29549969470533555,0.29549969470533555,0.28262939453051222,-0.0048476457606715755,0.00028401863949431024,4.2773094107073363e-05,0.00029336129219155514,0.00062015302579293877,-0.0054677987864645144,0,-0.0054677987864645136,0,0,0
train:ALPHA:0008,train,training,8,ALPHA,short,2024-05-01,2024-05-24,2024-05-27,open_short,reverse_short_to_long,False,False,True,18,-0.17034589446572271,-0.043198343837541626,0.29999999999999999,0.23591256275934366,0.0096427349108603438,0.0001703458944657227,0.0004944742350748493,4.424145980546957e-05,0.00070906158934604167,0.0089336733215143026,0.017695740402370781,0,0,0,0
train:ALPHA:0009,train,training,9,ALPHA,long,2024-05-27,2024-06-10,2024-06-11,reverse_short_to_long,reverse_long_to_short,False,False,True,11,0.20000000000000001,0.037641479118320748,0.27659675444362508,0.18313477901338515,-0.0035076794084219418,0.00020000000000000004,0.00032498113603367506,3.7283712815673466e-05,0.0005622648488493486,-0.00406994425727129,0.0086941054497107154,-0.0065440260046923087,0,0,0
train:ALPHA:0010,train,training,10,ALPHA,short,2024-06-11,2024-06-12,2024-06-13,reverse_long_to_short,reverse_short_to_long,False,False,True,2,-0.21217054214275219,-0.24278893927188477,0.24278893927188477,0.22747974070731847,-0.0068122046862720024,0.00021217054214275218,2.7913813936864097e-05,0.00024978863681955594,0.0004898729928991722,-0.0073020776791711747,0,-0.0073020776791711747,0,0,0
train:ALPHA:0011,train,training,11,ALPHA,long,2024-06-13,2024-06-26,2024-06-27,reverse_short_to_long,close_long,False,False,True,10,0.15129600295611012,0.049102734763743355,0.20000000000000001,0.097314467565386129,-0.0047111688862087019,0.00015129600295611011,0.00041631299518274405,4.8852569996891686e-05,0.00061646156813574581,-0.0053276304543444473,0.001212000835800065,-0.005594471170909476,0,0,0
train:ALPHA:0012,train,training,12,ALPHA,long,2024-07-02,2024-08-13,2024-08-14,open_long,close_long,False,False,True,31,0.16463340920921174,0.057075438498760671,0.29999999999999999,0.23947485670464874,0.012760752757389268,0.00016463340920921176,0.0013126582188944995,5.6673298011723383e-05,0.0015339649261154346,0.011226787831273833,0.017763336611654197,-0.00037574363021909175,0,0,0
train:ALPHA:0013,train,training,13,ALPHA,short,2024-08-19,2024-08-28,2024-08-29,open_short,close_short,False,False,True,8,-0.19644295586191096,-0.059199930868353394,0.19644295586191096,0.078321805538047642,-0.0023940828741415491,0.00019644295586191096,0.0001364083687400887,5.9933424776049584e-05,0.00039278474937804928,-0.0027868676235195985,0,-0.0027868676235195985,0,0,0
