timestamp,open,high,low,close,volume
2024-01-02,135.51777590,136.20954172,134.21386559,134.90249061,3281761.28
2024-01-03,134.96826445,135.43744298,134.53810333,135.00715790,1221983.58
2024-01-04,131.27027942,133.22102428,130.79396379,132.73937801,1146332.76
2024-01-05,129.52478355,130.76437147,129.06195102,130.29877324,1693331.98
2024-01-08,128.55002917,129.05150707,127.87453922,128.37533564,2928401.72
2024-01-09,131.34460065,131.82635925,128.38087498,128.85349647,2297764.28
2024-01-10,127.22034322,127.74956826,126.83039150,127.35919094,2034809.10
2024-01-11,125.61840402,126.06532593,125.02245087,125.46884066,2192511.13
2024-01-12,123.80683560,124.89694201,123.30235076,124.39008058,1432112.80
2024-01-15,121.27765774,122.72761544,120.89327848,122.33986959,4896974.36
2024-01-16,123.22173044,124.01093233,122.85011856,123.63806487,4165390.34
2024-01-17,125.67910983,126.13209307,124.11750016,124.56647315,3642158.04
2024-01-18,126.05717500,126.51566305,125.12706426,125.58383069,3258966.69
2024-01-19,126.05110357,126.74916702,125.62235198,126.31950250,2621572.78
2024-01-22,126.73898349,127.32993355,125.24673531,125.83346317,6629005.72
2024-01-23,126.89126305,128.47123128,126.48456725,128.06078707,2737919.03
2024-01-24,128.46905396,128.90605448,127.19178224,127.62591474,4208367.92
2024-01-25,126.50381428,129.30245062,126.09187361,128.88276326,2375622.50
2024-01-26,127.27188725,129.01554869,126.75301053,128.49169891,2440959.28
2024-01-29,129.37105898,129.84602505,127.72759300,128.19825329,2272062.28
2024-01-30,126.14748421,128.28643151,125.71086326,127.84393880,4074777.78
2024-01-31,128.60280021,129.59015044,128.14423239,129.12970380,3855472.62
2024-02-01,131.52993930,132.18155704,129.93212477,130.57903158,1364319.96
2024-02-02,129.33685679,129.92973100,128.63487924,129.22725102,5717056.12
2024-02-05,132.12364229,132.54352004,131.14700722,131.56511000,2723372.86
2024-02-06,130.97875440,132.34648148,130.53761918,131.90223598,4134443.71
2024-02-07,132.06918096,134.49104222,131.46871677,133.88233437,3971446.51
2024-02-08,133.75984248,135.88907183,133.16548843,135.28792783,3770686.71
2024-02-09,136.58892651,137.05091019,135.97158276,136.43303918,1896522.70
2024-02-12,136.94570471,137.35795836,135.62600386,136.03551754,2469006.89
2024-02-13,134.06095092,135.75817472,133.42436127,135.11657244,3726135.49
2024-02-14,137.18261598,137.80742836,135.23117464,135.84991711,4460314.90
2024-02-15,140.26647650,140.71324080,136.96381752,137.40145641,2631003.36
2024-02-16,136.79432517,138.11416824,136.28703425,137.60387518,3226725.94
2024-02-19,138.25698243,139.25740309,137.82497573,138.82362582,2318657.06
2024-02-20,139.35074516,139.93060731,138.15959342,138.73690126,2316288.14
2024-02-21,137.35015787,137.77172683,136.84069928,137.26199765,2152876.01
2024-02-22,138.14219811,138.60437193,136.43117496,136.88915656,1884861.87
2024-02-23,135.45028500,136.24206307,134.98887933,135.77953583,1941104.60
