timestamp,open,high,low,close,volume
2024-01-02,112.31233760,113.19853621,111.88651715,112.77097687,3869943.83
2024-01-03,114.59903559,115.07945068,113.69333550,114.17196023,2748437.41
2024-01-04,113.52895646,114.95468322,113.08151303,114.50339930,1866194.51
2024-01-05,113.82625656,114.32197699,112.93083915,113.42481125,2181289.14
2024-01-08,113.24175299,113.75968494,112.52702270,113.04405043,1332811.05
2024-01-09,110.79676423,112.14677910,110.30435610,111.65057641,1331061.83
2024-01-10,111.46266396,111.85560375,110.45031389,110.84106235,3496095.10
2024-01-11,112.89546062,113.34474344,111.64467840,112.09075880,2156140.07
2024-01-12,112.91831555,113.26835356,111.99064959,112.33889144,2165166.66
2024-01-15,113.55214111,114.01427307,111.74784904,112.20449639,1491034.63
2024-01-16,111.38194003,111.75632707,110.57312245,110.94604431,2532240.62
2024-01-17,110.79371852,111.22644843,110.37912985,110.81179214,2024601.07
2024-01-18,111.20034105,111.54218828,110.37204225,110.71238944,3680127.82
2024-01-19,111.84639739,112.98437538,111.47944180,112.61489842,1116032.12
2024-01-22,110.53923293,111.25162420,110.00346889,110.71500822,2641174.13
2024-01-23,110.74137400,111.14134345,110.37826769,110.77811666,3203816.74
2024-01-24,113.85819156,114.33214826,111.27713857,111.74228742,991508.49
2024-01-25,111.78918784,112.14336993,109.57547444,109.92374624,1467296.33
2024-01-26,109.41591273,110.04745495,108.61943368,109.25001836,6398520.71
2024-01-29,113.56556695,114.03766680,111.82592706,112.29273566,3302743.99
2024-01-30,111.22758659,113.51607420,110.74594636,113.02664365,2219558.63
2024-01-31,114.13878626,114.49602596,112.70521220,113.05907254,1397678.02
2024-02-01,111.77862794,112.26498103,111.42339548,111.90933319,7053856.96
2024-02-02,115.32195122,115.73703913,114.93464287,115.34963780,1316442.04
2024-02-05,112.43147258,114.02023400,111.93531022,113.51927117,1502458.28
2024-02-06,113.24797683,113.64406969,111.90880670,112.30158950,1731359.42
2024-02-07,112.14241951,112.57438448,111.54563238,111.97696000,1888184.98
2024-02-08,110.08740814,111.73419364,109.69626341,111.33860336,2525079.93
2024-02-09,113.48749089,113.87217462,111.97743950,112.35829565,1642943.37
2024-02-12,111.39550860,111.75270025,110.99594022,111.35299555,3590483.19
2024-02-13,112.58751148,113.29038767,112.09017666,112.79214890,1855381.79
2024-02-14,111.22852574,112.91179281,110.85237804,112.53123965,1335479.17
2024-02-15,109.19181320,111.44830467,108.72286211,110.97170939,2443195.48
2024-02-16,112.35394252,112.76973041,110.94195005,111.35403760,4390301.85
2024-02-19,112.00923264,114.08264587,111.54453078,113.61129739,2321033.13
2024-02-20,113.84410567,114.35453818,113.25893342,113.76902932,3236492.73
2024-02-21,116.15912391,116.68497035,114.32174751,114.84162972,2989801.65
2024-02-22,116.08938622,116.65582359,115.18615576,115.75094176,3108632.93
2024-02-23,118.64218227,119.08704551,116.44910001,116.88738341,1456151.58
2024-02-26,115.45709855,115.90819981,114.29072264,114.73901830,1373283.80
2024-02-27,113.22995323,113.90574541,112.85251347,113.52731444,4000703.31
2024-02-28,115.94875847,116.47994543,114.86408369,115.39272332,2280992.61
2024-02-29,117.89643579,118.33095888,114.89864593,115.32368681,389046.61
2024-03-01,112.17372825,112.63073266,111.58047055,112.03691758,1248055.08
2024-03-04,111.29478661,112.47627953,110.79146891,111.96990867,519704.19
2024-03-05,112.79719066,113.14037121,111.90872933,112.25024582,538716.40
2024-03-06,110.78382732,111.42146566,110.22820706,110.86543611,863537.16
2024-03-07,110.77938424,111.37363501,110.29979321,110.89354974,314419.98
2024-03-08,110.07860165,111.89326476,109.65298505,111.46229812,464748.80
2024-03-11,112.73773311,113.34014289,112.38816618,112.98979440,990554.05
2024-03-12,112.90344466,114.15795773,112.38295458,113.63409929,539114.61
2024-03-13,113.22008538,115.06456454,112.87611317,114.71604747,1030855.59
2024-03-14,117.47157418,117.91838704,116.13785340,116.58127996,1377439.27
2024-03-15,118.83560332,119.27347830,115.40901480,115.83583652,574310.39
2024-03-18,111.97054095,113.06379606,111.57604972,112.66685161,862378.76
2024-03-19,114.91439488,115.37025380,112.79214014,113.24136223,636395.85
2024-03-20,112.78849909,113.23208947,111.04898567,111.48745914,1064946.89
2024-03-21,110.26137995,110.66205776,108.67415742,109.07050774,692371.86
2024-03-22,106.96886710,108.38490226,106.56037194,107.97257411,552506.17
2024-03-25,107.74359227,109.49250103,107.21164139,108.95457132,700034.55
2024-03-26,110.79570524,111.16923402,109.69177826,110.06283630,1025417.68
2024-03-27,110.53490199,110.93505751,109.06327831,109.45954083,460723.71
2024-03-28,108.97618168,109.43464067,108.35241678,108.81017739,1348560.72
2024-03-29,105.82449312,109.61291779,105.40104198,109.17605555,502871.34
2024-04-01,112.84710721,113.89119697,112.38995039,113.43167200,635733.68
2024-04-02,113.90548269,114.37320800,113.48069793,113.94826371,908911.49
2024-04-03,113.93976938,114.28537981,113.21620489,113.56066539,397720.59
2024-04-04,114.44567423,114.81295029,112.49933406,112.86152630,437231.50
2024-04-05,112.00174587,112.35686550,110.78926603,111.14165861,467973.31
2024-04-08,109.67934796,110.90183565,109.03471687,110.25382810,558735.02
2024-04-09,109.66302959,111.49860674,109.23898970,111.06912981,2039892.63
2024-04-10,112.10439939,113.22889996,111.71970965,112.84168022,786875.11
2024-04-11,113.13472529,114.41948113,112.68166868,113.96310721,385890.22
2024-04-12,114.78076873,115.69118826,114.21831920,115.12704191,1192428.86
2024-04-15,118.47912295,118.88972137,115.64768790,116.04986755,473534.90
2024-04-16,113.58394429,113.94722515,112.71805278,113.07972095,1186482.97
2024-04-17,110.53067282,112.65564871,110.18613673,112.30558004,573468.01
2024-04-18,113.44121011,115.54200905,113.08594636,115.18129589,684935.53
2024-04-19,117.71831958,118.61286565,117.26594294,118.15879631,524633.96
2024-04-22,118.61180562,119.30382489,117.96523921,118.65701205,503512.45
2024-04-23,119.19522607,119.67599228,118.74347216,119.22412883,621669.45
2024-04-24,119.13911984,119.56770318,118.49726764,118.92508102,426200.62
2024-04-25,118.55665151,119.26626309,118.08316131,118.79183363,739807.49
2024-04-26,119.73168532,120.22731053,117.72372421,118.21306313,437286.75
2024-04-29,119.85926692,120.27400466,116.33128032,116.73520818,2917916.13
2024-04-30,117.40839092,118.10978668,116.96715734,117.66757905,2372857.25
2024-05-01,118.96903016,119.62449679,117.40538024,118.05581546,2183680.81
2024-05-02,120.17888971,120.73367844,116.86912951,117.41114132,2097624.65
2024-05-03,116.74835736,118.05180744,116.32368080,117.62394590,3642118.78
2024-05-06,118.06434247,119.55438190,117.64032365,119.12654825,1688340.27
2024-05-07,119.49120272,119.90684019,118.26188398,118.67468127,2867193.53
2024-05-08,119.49045672,119.89460888,118.50539373,118.90757441,2424049.34
2024-05-09,118.28494610,119.40484801,117.86231193,118.97973135,2821745.83
2024-05-10,118.52249300,120.16470845,118.05189410,119.68947599,4198414.34
2024-05-13,123.00698115,123.65506470,120.97394709,121.61469515,3006614.61
2024-05-14,122.43582601,122.99371631,122.00856100,122.56599704,1896191.29
2024-05-15,122.10053270,122.98194872,121.64231083,122.52214463,5294719.47
2024-05-16,123.77092681,125.55192664,123.20219394,124.97764883,2873149.39
2024-05-17,125.80032297,126.28538833,125.13320341,125.61756408,2997992.13
2024-05-20,125.77511268,126.56494043,125.18784696,125.97673331,1754004.61
2024-05-21,124.81513388,125.86780441,124.41937609,125.46997030,1224829.92
2024-05-22,121.68138718,124.10968927,121.22242751,123.64332952,2249109.98
2024-05-23,120.80117916,123.79851257,120.30966177,123.29684080,1624655.03
